# ,City ,Address ,State ,DateOpened
1,Baldwin Park ,13850 Francisquito Ave. ,CA ,10/22/1948
2,Covina ,1371 Grand Ave. ,CA ,3/1/1951
3,La Verne ,2098 Foothill Blvd. ,CA ,9/18/1952
4,West Covina ,15610 San Bernardino ,CA ,7/3/1962
5,Pasadena ,2114 E. Foothill ,CA ,10/5/1959
6,Azusa ,324 S. Azusa Ave. ,CA ,8/1/1966
7,La Puente ,15259 E. Amar Rd. ,CA ,5/1/1968
8,Pomona ,1851 Indian Hill Blvd. ,CA ,4/1/1970
9,North Hollywood ,5864 Lankershim Blvd. ,CA ,5/10/1971
10,Panorama City ,13651 Roscoe Blvd. ,CA ,3/10/1972
11,Hacienda Heights ,14620 E. Gale Ave. ,CA ,7/24/1972
12,San Fernando ,11455 Laurel Canyon Blvd. ,CA ,6/2/1973
13,Temple City ,10601 E. Lower Azusa Rd. ,CA ,8/27/1973
14,Norwalk ,14330 Pioneer Blvd. ,CA ,2/18/1974
15,Diamond Bar ,21133 Golden Springs Dr. ,CA ,6/30/1974
16,Tujunga ,6225 Foothill Blvd. ,CA ,4/9/1975
17,Santa Ana ,815 N. Bristol St. ,CA ,9/28/1975
18,Woodland Hills ,19920 Ventura Blvd. ,CA ,2/8/1976
19,Garden Grove ,9032 Trask Ave. ,CA ,6/25/1978
20,Rosemead ,4242 N. Rosemead Blvd. ,CA ,12/21/1978
21,Ontario ,2235 Mountain Ave. ,CA ,10/4/1979
22,Fontana ,9855 Sierra Ave. ,CA ,12/27/1979
23,Rancho Cucamonga ,8955 Foothill Blvd. ,CA ,9/15/1980
24,Anaheim ,600 S. Brookhurst St. ,CA ,12/3/1980
25,Corona ,450 Auto Center Dr. ,CA ,11/10/2011
26,San Bernardino ,190 Bungalow Ct. ,CA ,2/11/1982
27,Arcadia ,420 N. Santa Anita Ave. ,CA ,6/8/1982
28,Laguna Niguel ,28782 Camino Capistrano ,CA ,8/24/1982
29,Hesperia ,13704 Main St. ,CA ,6/24/1983
30,Torrance ,730 W . Carson St. ,CA ,12/23/1983
31,San Bernardino ,1065 E. Harriman Pl. ,CA ,2/28/1984
32,Placentia ,825 W . Chapman Ave. ,CA ,5/25/1984
33,Pomona ,2505 Garey Ave. ,CA ,8/16/1984
34,Ontario ,1891 E. G St. ,CA ,10/19/1984
35,Northridge ,9858 Balboa Blvd. ,CA ,12/26/1984
36,La Habra ,2030 E. Lambert Rd. ,CA ,5/14/1985
37,Westminster ,6292 Westminster Blvd. ,CA ,6/29/1985
38,Costa Mesa ,594 W. 19th St. ,CA ,9/23/1985
39,Pedley ,6634 Clay St. ,CA ,11/29/1985
40,Lakewood ,5820 Bellflower Blvd. ,CA ,12/28/1985
41,Camarillo ,1316 Ventura Blvd. ,CA ,8/27/1986
42,Buena Park ,7926 Valley View St. ,CA ,9/25/1986
43,Lancaster ,2021 W . Avenue I ,CA ,11/26/1986
44,Moreno Valley ,23035 Hemlock Ave. ,CA ,1/7/1987
45,Upland ,1837 Foothill Blvd. ,CA ,4/6/1987
46,Riverside ,7467 Indiana Ave. ,CA ,6/30/1987
47,Santa Fe Springs ,10525 Carmenita Rd. ,CA ,10/21/1987
48,Norco ,1810 Hamner Ave. ,CA ,3/5/1988
49,Pico Rivera ,9070 Whittier Blvd. ,CA ,5/13/1988
50,Thousand Palms ,72265 Varner Rd. ,CA ,6/17/1988
51,Indio ,82043 Hwy. 111 ,CA ,6/17/1988
52,Hemet ,W. Florida Ave. ,CA ,9/9/1988
53,Newhall ,25220 N. The Old Road ,CA ,12/28/1988
54,Lake Elsinore ,331 Railroad Canyon Rd. ,CA ,5/18/1989
55,West Los Angeles ,9245 W. Venice Blvd. ,CA ,9/6/1989
56,Barstow ,2821 Lenwood Rd. ,CA ,11/14/1989
57,Lemon Grove ,7160 Broadway ,CA ,1/16/1990
58,Thousand Oaks ,1550 Newbury Rd. ,CA ,2/28/1990
59,Orange ,3501 E. Chapman Ave. ,CA ,3/9/1990
60,Long Beach ,4600Los Coyotes Diagonal ,CA ,6/6/1990
61,Vista ,2010 Hacienda Dr. ,CA ,8/30/1990
62,Temecula ,27700 Jefferson Ave. ,CA ,9/19/1990
63,Tustin ,3020 El Camino Real ,CA ,10/10/1990
64,West Covina ,2940 E. Garvey Ave. ,CA ,12/22/1990
65,Bakersfield ,2310 Panama Ln. ,CA ,4/24/1991
66,City of Industry ,17849 E. Colima Rd. ,CA ,6/18/1991
67,Irvine ,4115 Campus Dr. ,CA ,7/25/1991
68,Mira Mesa ,9410 Mira Mesa Blvd. ,CA ,8/13/1991
69,Pacific Beach ,2910 Damon Ave. ,CA ,10/24/1991
70,National City ,500 Mile of Cars Way ,CA ,11/18/1991
71,San Diego/Kearny Mesa ,4375 Kearny Mesa Rd. ,CA ,12/18/1991
72,Hesperia ,17069 Bear Valley Rd. ,CA ,3/10/1992
73,El Cajon ,1541 N. Magnolia Ave. ,CA ,3/31/1992
74,Huntington Park ,6000 Pacific Blvd. ,CA ,4/23/1992
75,Torrance ,24445 Crenshaw Blvd. ,CA ,7/30/1992
76,Ventura ,2070 Harbor Blvd. ,CA ,9/8/1992
77,Fullerton ,1180 S. Harbor Blvd. ,CA ,9/16/1992
78,Simi Valley ,2600 Stearns St. ,CA ,10/22/1992
79,Palmdale ,42 E. Palmdale Blvd. ,CA ,10/30/1992
80,Las Vegas ,2900 W . Sahara Ave. ,NV ,11/17/1992
81,Las Vegas ,51 N. Nellis Blvd. ,NV ,11/18/1992
82,Fresno ,5106 W . Shaw Ave. ,CA ,11/30/1992
83,Fresno ,4302 N. Blackstone Ave. ,CA ,12/18/1992
84,Rancho Cucamonga ,12599 Foothill Blvd. ,CA ,4/14/1993
85,Sherman Oaks ,14444 Van Nuys Blvd. ,CA ,7/15/1993
86,Las Vegas ,14888 Dean Martin Dr. ,NV ,7/28/1993
87,Carmel Mountain ,11880 Carmel Mountain Rd. ,CA ,8/2/1993
88,Las Vegas ,4705 S. Maryland Pkwy. ,NV ,8/31/1993
89,Carlsbad ,5950 Avenida Encinas ,CA ,10/5/1993
90,Modesto ,3900 Pelandale Ave. ,CA ,10/18/1993
91,Merced ,1579 Martin Luther King Jr. ,CA ,11/18/1993
92,Redondo Beach ,3801 Inglewood Ave. ,CA ,12/3/1993
93,Fresno ,2657 S. Second St. ,CA ,12/15/1993
94,Laguna Niguel ,27380 La Paz Rd. ,CA ,1/3/1994
95,Kettleman City ,33464 Bernard Dr. ,CA ,3/24/1994
96,Tracy ,575 Clover Rd. ,CA ,6/1/1994
97,Foothill Ranch ,26482 Towne Centre Dr. ,CA ,7/6/1994
98,Atascadero ,6000 San Anselmo Rd. ,CA ,7/22/1994
99,Salinas ,151 Kern St. ,CA ,9/21/1994
100,Gilroy ,641 Leavesley Rd. ,CA ,11/10/1994
